topic_id,title,query,desc
1,ウクライナ,ウクライナ,
2,ウクライナ 避難民,ウクライナ 避難民,
3,ウクライナ 支援,ウクライナ 支援,
4,ロシア,ロシア,
5,ロシア 経済制裁,ロシア 制裁,
6,コロナ,コロナ,
7,オンライン国会,オンライン出席;オンライン審議,新型コロナの感染拡大を機に、リモートでの国会参加を「出席」とみなせるのか、議論が行われました。
8,地方自治体,地方自治体;地方公共団体,
9,こども家庭庁,こども家庭庁;こども基本法案,2023年4月から、こども政策の推進を担う「こども家庭庁」が設置されます。
10,デジタル化,デジタル化;デジタル社会,
11,中小企業,中小企業,
12,経済安全保障,経済安全保障,軍事面だけでなく、経済面の脅威からも国を守れるように備えることを「経済安全保障」と呼びます。
13,トリガー条項,トリガー条項,ガソリン価格の高騰時に一時的に税率を引き下げる、トリガー条項と呼ばれる仕組みがありますが、2011年以降凍結されています。
15,医薬品 緊急承認,緊急承認,新型コロナのような感染症の大流行の際に、医薬品の迅速な実用化を可能とする緊急承認制度が創設されました。
16,有機農業,有機農業,
17,デジタル庁,デジタル庁,
18,原発,原子力;原発,
19,カーボンニュートラル,カーボンニュートラル;脱炭素,2050年までに温室効果ガスの排出を全体としてゼロにする、カーボンニュートラルの実現を目指しています。
20,福島国際研究教育機構,福島国際研究教育機構;国際教育研究拠点推進事業,原発事故からの復興を目指して、2023年4月から国際研究機構が福島に創設されます。
21,ALPS処理水,ALPS処理水,多核種除去設備（ALPS）を使って、汚染水からトリチウム以外の放射性物質を規制基準以下まで取り除いたものを「ALPS処理水」と呼びます。
22,敵基地攻撃能力,敵基地攻撃能力,弾道ミサイルの発車基地など、敵国の基地や拠点を攻撃する能力を「敵基地攻撃能力」と呼びます。
23,知床遊覧船事故,知床 遊覧船 事故,2022年4月に知床沖で観光船が沈没する海難事故がありました。
24,法定審理期間訴訟手続,法定審理期間訴訟手続,民事訴訟手続きを迅速化するため、当事者双方が合意した場合に、審理期間を6ヶ月に制限する精度が新設されました。
25,育児休業,育児 休業;育休,
26,拉致問題,拉致,
27,職業能力開発短期大学校,職業能力開発短期大学校,職業能力開発短期大学校は高度な職業訓練を行う厚生労働省所轄の省庁大学校です。
28,物価上昇,物価上昇;物価高騰;インフレ,
29,北方領土,北方領土,
30,一票の格差,投票価値;一票の格差,
31,電動キックボード,電動キックボード,
32,国土交通省 統計不正,建設工事受注動態統計調査;統計不正;国土交通省 統計,国土交通省所轄の建設工事受注動態統計において、データの書き換えや二重計上が行われていたことが2021年12月に明らかになりました。
33,憲法改正,憲法改正,
34,ワクチン,ワクチン,
35,名古屋入管,名古屋入管,2021年3月、名古屋出入国在留管理局に収容中のスリランカ人女性が死亡する事件がありました。
36,電子処方箋,電子 処方;電子 お薬手帳,処方箋をデジタル化できる仕組みが創設されました。
37,ヤングケアラー,ヤングケアラー,本来大人が担うべき家事や家族の世話などを日常的に行っている子どもを「ヤングケアラー」と呼びます。
38,マイナンバー,マイナンバー,
39,デジタル田園都市国家,デジタル田園都市国家,「デジタル田園都市国家構想」とはデジタル化によって地方の社会課題を解決し、地域の魅力を向上させようという取り組みです。
40,大学ファンド,国際卓越研究大学;大学ファンド,世界トップの研究大学の実現に向け、10兆円規模の基金を創設し、運用益を特定の大学に集中して配分する取り組みが始まります。
41,金融緩和,金融緩和;金融政策,中央銀行が、景気回復を目的として政策金利を引き下げたり、資金の供給量を増やすことを「金融緩和」と呼びます。
42,マスク,マスク,
43,地方創生臨時交付金,地方創生臨時交付金,
44,教員免許,教員免許,
45,火力発電,火力発電,
46,教育格差,教育格差,
47,新しい資本主義,新しい資本主義,
48,万博,万博,
49,みどりの食料システム戦略,食料システム戦略,
50,国際協力機構（JICA）,JICA;国際協力機構,
51,政府開発援助（ODA）,ODA;政府開発援助,
52,侮辱罪,侮辱罪,
53,拘禁刑,拘禁刑,
54,取消権,取消権,
